ITEM ID LOOKUP - League of Legends
===================================
Sorted alphabetically by name

ID     | Name (Gold Cost)
3330   | Scarecrow Effigy (0g)
1101   | Scorchclaw Pup (450g)
1107   | Scorchclaw Pup (450g)
3144   | Scout's Slingshot (600g)
2420   | Seeker's Armguard (1600g)
6695   | Serpent's Fang (2500g)
3134   | Serrated Dirk (1000g)
6694   | Serylda's Grudge (3000g)
4645   | Shadowflame (3200g)
2421   | Shattered Armguard (1600g)
3057   | Sheen (900g)
663058 | Shield of Molten Stone (2500g)
2065   | Shurelya's Battlesong (2200g)
322065 | Shurelya's Battlesong (2600g)
3876   | Solstice Sleigh (400g)
3020   | Sorcerer's Shoes (1100g)
3161   | Spear of Shojin (3100g)
3211   | Spectre's Cowl (1250g)
3175   | Spellslinger's Shoes (1600g)
3065   | Spirit Visage (2700g)
6616   | Staff of Flowing Water (2250g)
326616 | Staff of Flowing Water (2600g)
3087   | Statikk Shiv (2700g)
3340   | Stealth Ward (0g)
2019   | Steel Sigil (1100g)
3053   | Sterak's Gage (3200g)
4646   | Stormsurge (2800g)
6631   | Stridebreaker (3300g)
6610   | Sundered Sky (3100g)
3068   | Sunfire Aegis (2700g)
3170   | Swiftmarch (1500g)
664011 | Sword of Blossoming Dawn (2500g)
663060 | Sword of the Divine (2500g)
3010   | Symbiotic Soles (900g)
3070   | Tear of the Goddess (400g)
323070 | Tear of the Goddess (400g)
3302   | Terminus (3000g)
2020   | The Brutalizer (1337g)
6676   | The Collector (3000g)
667666 | The Collector (3000g)
3075   | Thornmail (2450g)
323075 | Thornmail (2650g)
3077   | Tiamat (1200g)
3748   | Titanic Hydra (3300g)
3002   | Trailblazer (2400g)
323002 | Trailblazer (2600g)
3078   | Trinity Force (3333g)
2021   | Tunneler (1150g)
3179   | Umbral Glaive (2500g)
2502   | Unending Despair (2800g)
1053   | Vampiric Scepter (900g)
663064 | Veigar's Talisman of Ascension (900g)
4632   | Verdant Barrier (1600g)
4643   | Vigilant Wardstone (2300g)
3135   | Void Staff (3000g)
6699   | Voltaic Cyclosword (3000g)
3082   | Warden's Mail (1000g)
3083   | Warmog's Armor (3100g)
4638   | Watchful Wardstone (1100g)
3066   | Winged Moonplate (800g)
3119   | Winter's Approach (2400g)
323119 | Winter's Approach (2400g)
3091   | Wit's End (2800g)
3865   | World Atlas (400g)
3142   | Youmuu's Ghostblade (2800g)
3032   | Yun Tal Wildarrows (3000g)
3871   | Zaz'Zak's Realmspike (400g)
3086   | Zeal (1200g)
3050   | Zeke's Convergence (2200g)
323050 | Zeke's Convergence (2300g)
663172 | Zephyr (2500g)
3157   | Zhonya's Hourglass (3250g)
